Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""753_1378_73_3000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_1378_73_3000_DC2959""","""BULK_OH_753_1378_73_3000_DC2959_ALC16717""","""753_1378_73_3000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.01"""
"""751_1200_73_1611""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_73_1611_DC2959""","""BULK_OH_751_1200_73_1611_DC2959_ALC16717""","""751_1200_73_1611""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.01"""
"""1753_1371_73_4000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1371_73_4000_DC2959""","""BULK_OH_1753_1371_73_4000_DC2959_ALC16717""","""1753_1371_73_4000""","""""","""18""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.01"""
"""1753_1371_73_5000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1753_1371_73_5000_DC2959""","""BULK_OH_1753_1371_73_5000_DC2959_ALC16717""","""1753_1371_73_5000""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.02"""
"""751_1386_73_1616""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1386_73_1616_DC2959""","""BULK_OH_751_1386_73_1616_DC2959_ALC16717""","""751_1386_73_1616""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.02"""
"""1328_3801_223_9102""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1328_3801_223_9102_DC2959""","""BULK_OH_1328_3801_223_9102_DC2959_ALC16717""","""1328_3801_223_9102""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.02"""
"""751_1200_331_1622""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_331_1622_DC2959""","""BULK_OH_751_1200_331_1622_DC2959_ALC16717""","""751_1200_331_1622""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.03"""
"""751_1200_331_1625""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_751_1200_331_1625_DC2959""","""BULK_OH_751_1200_331_1625_DC2959_ALC16717""","""751_1200_331_1625""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.03"""
"""752_1883_73_5000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1883_73_5000_DC2959""","""BULK_OH_752_1883_73_5000_DC2959_ALC16717""","""752_1883_73_5000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.03"""
"""752_1883_683_1000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_752_1883_683_1000_DC2959""","""BULK_OH_752_1883_683_1000_DC2959_ALC16717""","""752_1883_683_1000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.04"""
