Class_Style_Color_Size	AEO_DC_From_LOC	AEO_DC_To_LOC	Allocate_Date	Ship_Date	Arrive_Date	BULK_OH_Class_Style_Color_Size_DC	BULK_OH_Class_Style_Color_Size_Alloc	Class_Style_Color_Size		QTY	0	0	Alloc	1	N		DEPLOYMENT	0	Manual Import	0000000000	FloorSet	Current_Time_Stamp
"9792_3487_153_3414"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_9792_3487_153_3414_DC2959"	"BULK_OH_9792_3487_153_3414_DC2959_ALC16723"	"9792_3487_153_3414"	""	"6"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.51"
"753_1145_73_3000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_1145_73_3000_DC2959"	"BULK_OH_753_1145_73_3000_DC2959_ALC16723"	"753_1145_73_3000"	""	"14"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.51"
"1754_1304_331_6000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1754_1304_331_6000_DC2959"	"BULK_OH_1754_1304_331_6000_DC2959_ALC16723"	"1754_1304_331_6000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.51"
"753_1382_73_1000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_1382_73_1000_DC2959"	"BULK_OH_753_1382_73_1000_DC2959_ALC16723"	"753_1382_73_1000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.52"
"1753_1371_73_5000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1753_1371_73_5000_DC2959"	"BULK_OH_1753_1371_73_5000_DC2959_ALC16723"	"1753_1371_73_5000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.52"
"1753_1372_615_4000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1753_1372_615_4000_DC2959"	"BULK_OH_1753_1372_615_4000_DC2959_ALC16723"	"1753_1372_615_4000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.52"
"753_1769_331_5000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_1769_331_5000_DC2959"	"BULK_OH_753_1769_331_5000_DC2959_ALC16723"	"753_1769_331_5000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.53"
"753_1378_683_6000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_1378_683_6000_DC2959"	"BULK_OH_753_1378_683_6000_DC2959_ALC16723"	"753_1378_683_6000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.53"
"753_1382_683_5000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_1382_683_5000_DC2959"	"BULK_OH_753_1382_683_5000_DC2959_ALC16723"	"753_1382_683_5000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.53"
"1754_2012_73_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1754_2012_73_2000_DC2959"	"BULK_OH_1754_2012_73_2000_DC2959_ALC16723"	"1754_2012_73_2000"	""	"41"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.54"
"1753_2130_73_4000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1753_2130_73_4000_DC2959"	"BULK_OH_1753_2130_73_4000_DC2959_ALC16723"	"1753_2130_73_4000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.54"
"1753_1371_683_1000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1753_1371_683_1000_DC2959"	"BULK_OH_1753_1371_683_1000_DC2959_ALC16723"	"1753_1371_683_1000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.54"
"2693_8201_153_2000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2693_8201_153_2000_DC2959"	"BULK_OH_2693_8201_153_2000_DC2959_ALC16723"	"2693_8201_153_2000"	""	"67"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.54"
"118_5362_915_2628"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_118_5362_915_2628_DC2959"	"BULK_OH_118_5362_915_2628_DC2959_ALC16723"	"118_5362_915_2628"	""	"8"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.55"
"118_5312_896_3634"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_118_5312_896_3634_DC2959"	"BULK_OH_118_5312_896_3634_DC2959_ALC16723"	"118_5312_896_3634"	""	"6"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.20.55"
