"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,73,9792,3487,153,3414,6,"2023-11-20.20.26.18"
2959,6900,75,753,1145,73,3000,14,"2023-11-20.20.26.18"
2959,6900,75,1754,1304,331,6000,5,"2023-11-20.20.26.18"
2959,6900,75,753,1382,73,1000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,1371,73,5000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,1372,615,4000,5,"2023-11-20.20.26.18"
2959,6900,75,753,1769,331,5000,5,"2023-11-20.20.26.18"
2959,6900,75,753,1378,683,6000,5,"2023-11-20.20.26.18"
2959,6900,75,753,1382,683,5000,5,"2023-11-20.20.26.18"
2959,6900,75,1754,2012,73,2000,41,"2023-11-20.20.26.18"
2959,6900,75,1753,2130,73,4000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,1371,683,1000,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,153,2000,67,"2023-11-20.20.26.18"
2959,6900,11,118,5362,915,2628,8,"2023-11-20.20.26.18"
2959,6900,11,118,5312,896,3634,6,"2023-11-20.20.26.18"
2959,6900,11,118,5312,896,3834,5,"2023-11-20.20.26.18"
2959,6900,75,751,2640,73,1616,5,"2023-11-20.20.26.18"
2959,6900,150,2696,3084,27,2000,31,"2023-11-20.20.26.18"
2959,6900,150,2698,3081,73,2000,35,"2023-11-20.20.26.18"
2959,6900,150,2698,3081,73,3000,44,"2023-11-20.20.26.18"
2959,6900,150,2698,3081,73,6000,14,"2023-11-20.20.26.18"
2959,6900,70,491,5089,215,1612,142,"2023-11-20.20.26.18"
2959,6900,43,1436,2762,524,8008,76,"2023-11-20.20.26.18"
2959,6900,43,3439,2676,38,9101,12,"2023-11-20.20.26.18"
2959,6900,43,3439,2676,38,9102,10,"2023-11-20.20.26.18"
2959,6900,11,119,5339,1,3234,11,"2023-11-20.20.26.18"
2959,6900,150,2698,3081,100,3000,24,"2023-11-20.20.26.18"
2959,6900,70,491,5089,73,1623,18,"2023-11-20.20.26.18"
2959,6900,75,753,2860,73,3000,14,"2023-11-20.20.26.18"
2959,6900,75,753,2860,73,5000,6,"2023-11-20.20.26.18"
